ID,Comments
RS75FOY13AIG9,"Qualitywise the plastic body used is fragile (like you get a feel that it might break). Although they have provided a paper for instructions with images on how to set it up - it's very difficult for a new person to understand and then install it. A video link might help or you need to search on youtube. Print quality wise also - it's not the best, but not worst also - it's 4.8/5. I feel it's a bit overpriced as well.I connected to my Windows 10 laptop, it asked me to download HP software from Microsoft Windows Store and a few next-next-next things, setup was quick. You just sign-in with your email address registered to HP.It's a 5/5 product but will give 4 because I feel it's a bit overpriced and paper might also get jammed sometimes.Edit (31/01/2023) : The printer sometimes disconnects after 1 print and the pc/laptop stops detecting the printer."
R9ND7QWH7XQYA,Product is ok..it's only for home uses and small official works.delivery very good.print quality ok
R228SX2WEWNRQ0,Its printing really slow when i feed a document to print even in black and white
R37LLH8581A04J,Easy to install and print
R3QVZXMSS2TLR,Very slow
RYZ9YNAV20VMU,It is bad choiceNo value of money
R13BAOX129PB1V,Very good product for normal use.
R1B02USPU5PXG4,Very basic AIO printer.
REGXAONKJNEME,Warranty card missing
RQ8MHNI5JPOM2,Superb
R2G99XUCCMBINL,Very good quality of print. Scanner of this printer is not good. Otherwise wireless connectivity is very good. Color quality is very nice. I recommend this hp printer for buying...
R3OGU8R204QJXI,Refills are costly & printing speed is ok ok
R17XUJX6E6KHAW,"1. Ive had inkjet printers in the past but this one is extremely noisy. It feels like it is cracking its knuckles, and breaking its own bones to transform into a werewolf when it warms up.2. I don't know if it is just my unit, but this printer goes berserk 7 out of 10 times when i turn it on where all the lights just blink non stop and it wont do anything else. And i cant for the life of me figure out what the issue is.Bottomline : there are loads of better printers out there, without all the drama. Im trying to find a way to contacy support to see how to troubleshoot the blinky lights scenario. So far no luck."
R2DMBVOF2OFPW3,Value for money
R2O7I4UED0WBMV,Like this printer and wireless feature works good and gives clean prints😊😊
RHQZ8SNXV63H,Does not have a paper tray
R1PCNG1QDCG6IR,Good product
RYQ1WFZFEAOFH,Very Good
RP4BV729OGEFD,"Very Good, it has Wifi, Bluetooth and USB printing options"
R286FU0B9X5QOG,Overall good printer.
R26JG4TVI3SW8Q,Mobile app not working properly.Connect to wifi not easy.Overall good product.
R233L0YU82BPL4, Good product
R11H1SRIDST2I0,HP tank 589 You can trust this picture quality. I can't say anything about the bulid quality for long term. The wifi direct connect is not working properly. Nor the app provided by the company. you should use wire or else you will be pissed
R1KS6G6LRLOJK8,It start printing lines on document after 2 weeks
R2KNJQANLY6UL0,While installation print head error was keep promoting for which complaint raised. More than a week no response from technician team. So product request to returned. More than a week the return product not returned to vendor. Not sure why products take 2 days to reach but the returned product taking more than week time.
R24N5IHU1UXHRR,
R2JLN3GTQULN3,"The colour of this printer - orange stands out in my study room .  Have bought it for my office use , printing speed is quite fast and clear , very silent , plus it has ink sensing feature .Overall very satisfied with the product ."
R1OYO70LMXQ2A1,"Bought it off Amazon as got a better deal.Pros - HP name and product quality. WiFi direct. Wifi printing (2.4 Ghz only). Setup is easy and straightforward.Cons - They claim 6000 pages for color and black Lets see how much it lasts. Even if it lasts 3000 pages it will be worth it.The paper tray is behind the printer output tray and not below it as is the case with most AIO printers. Wifi works only on 2.4 Ghz network. Surprised that only 802.11 b/g/n is supported. 802.11 a/c is not supported which has 5 Ghz bands. Display is quite tiny and black and white. Though it doesnt affect functionality, it looks dated. At this cost, some do offer an ADF (Even lower priced non-ink tank printers offer ADF) and auto duplex printing, which isnt available with the smart tank 585."
R2MBAHBZYBIR10,Really liked the design and looks of the printer. The print Quality is great and the cost per page is very optimal.
R19MYQD7V9HZYQ,"HP software and Mobile App is patheticCreating problems for connection and printingprinter is slowprint quality is excellentcopy, scan is very good"
RUTROAS48VSZA, I didn't like the fact that there was no external Amazon box on this item. I looked forward for the big box which I could have used for storage purpose later.But the printer is impressive. And it was handled safely by the team because so far we have not faced many issues with this.Edit: The printing ink had issues. You'll have to contact hp tech support sooner and the guy said it could be that you get the original product but the cartridge could have been not a good one. So we are having issues with colour prints for the time being. Hopefully the new cartridges help and do the job well.
R2RKF4UB2CKL2S,Connection late hota hai...
R1ZTTIN6QGV0LV,Excellent printer value for money..
RNMB3L6ZT1QAZ,Print is okay... I haven't received CD drive to install my laptop
R26Z5G5C3BUYI,"Highly user unfriendly. Everytime I get the printer ready to deliver a print or get a scan, it's a pain as so far every single time there are some or the other notifications which either denies printing or says 'scan not possible now'. Never expected such a product from HP. It's only the name that sells today.If I have to install and pre-installed everytime and download drivers and firmware and software thus ending up losing almost 45 mins to an hour for a work which should not take more than 5 mins at the most, what is the use of such a product and spending so much of hard earned money."
R1PK34E59YQ40R,"Positives:1) Easy install and use, less weight/handy.2) hp app3) 3in1 is good (scanner, printer, photocopy)Negatives:1) Not value for money for occasional users.I bought it for school online class purpose to take prints but it’s expensive2) Poor customer care -tech support (launched case number but never get call until I tried them)3) Printer comes with demo cartridges for only 12 to 15prints (colour may be 12, B&W may be up to 16)as per customer care , we need to buy two cartridges separately (Rs1600),4) full cartridges may give less prints as well and no instructions (may be 300 to 450 as per others experience)5) Printer papers auto process sucks sometimes, (not often so far),6) I tried to take small size print from smartphones but size selection is intermittent and only  A4 was option (most of the time)My suggestion: if you don’t use printer daily, please don’t buy to save your cartridges cost (cartridges may get clotted if you don’t use ink often)"
R22YURYTPNP69E,"It’s a new printer but it does print properly. After running all diagnostics and speaking with helpdesk, I am trying to return the product.The product was replaced and the new one works fine."
R2DLBXIL0DJABL,"Bought the product with mixed feelings due to many negative reviews.After using the product, it appears the negative reviews are posted without any product knowledge or how the printer works."
R2MFAHC9W844UU,"1. Don’t know the issue won’t take multiple prints at a time .2. Ink consumption not satisfied. It’s costing 1.5rs/print .3. Bought new cartridge, price 801 and it CLAIMS 400-450 pages . Which is almost 2rs/print .4. For any restart , Won’t turn off immediately,takes its own sweet time .5. Some how not happy with the product ."
RHF7KCWNO448S,The printer is extremely easy to install with the hp smart app and wifi .. you don’t need to physically connect with your pc/mac .. print quality is excellent .. but the ink (uses 682) turns out to be very costly compared to the number of pages it can print in Color … third party ink cartridges is recommended
R22MXJR9FTSX7A,good one
R3QSZKSG131E2A,"After few days, the printing quality is has gone down. I would have hardly printed 50 pages, the black ink is almost drained. Printing is coming in very light color.Now even copying is giving blank pages.Need to send it for service just after 6 months of purchase. Will update more once I get it back from service."
R1OUW82T5TPPOQ,"Difficult to connect, very complicated, ink consumption is very high. If print colour photo then ink dry after long time."
R2TZUIUVC38U4K,I brought it on Feb 23 .but now it's not scanning.. pls help me out
R1ZNJJ16MIRF28,"We have always bought HP printers as being top quality but we have made a very bad choice this time. 1) The print quality is poor - faint & slightly blurred. 2) Printing both sides is a nightmare. The user must manually take the 1st page printed and put it back into the paper feed. It is not possible to feed it back on top of any other paper in the feed so you must remove any other paper and put only the one sheet through. It prints and then gives you an error message. Easy to resolve the error but a pain. 3) Printing both sides, multi page document is dreadful. 3 page document - the printer 1st ejects a blank page. It then prints page 2. You must then put in a blank page as, next, it prints page 3 and finally put the page 2 paper back in (the correct way up and way round!) to print out page 1. This is all a nightmare if you do much multi page printing. Anything above 2 pages double sided would be easiest done 2 pages at a time or confusion could easily set in. 4) When printing multi page, page 1 drops down significantly with barely any margin at the bottom of the page. Page 2, however, is right up near the top with a huge margin at the bottom. Don't ask me why! 5) Beware if buying the Amazon ""package"" as we were sent black cartridge 682 & colour cartridge 678. Both cartridges need to be 682.We will give this printer to a local school & buy something else as this product is now, obviously, unreturnable. For us, this has been a complete waste of money."
R2L6K1CFRT09ML,"Colour print me slow hai hi but, B/W PDF print me bhi bahut time leta hai...Baki sab badhiya hai..."
R1KC7BFIU07RFY,"Plus Points1- Start with just power cord,It’s almost wireless,2- Print quality and build material is too good (With original ink only),3- Easy to install.4- Working on multiple devices like Laptops,PC and Mobile on same time.Minus Points1- Difficult to refill Ink.(Worst refilling system ever I have used)2- Original ink is so costly.3- Printing output is too much slow,Not recommend for Offices and fast work.If you have more time to spare you can go with this device."
RCR48JTCZQJU,"In June 2022, I purchased a printer which functioned well until March 2023. However, upon encountering a problem, I reached out to HP for assistance and discovered during the process that the product's warranty had expired in just 9 months. As a result, I am now grappling with a predicament involving both Amazon and HP.  HP confirmed the printer has been registered with warranty 3 month before my purchase."
R1ZG99R8GRBUGM,Given to very trouble in this printer
R3NO2WTVAZT6QI,"Bought HP INKJET 4100 series printer for home use ,and it's good for minimal purposes and handles smoothly. Print quality is medium and gets blured unlike done in larger machines and toner gets finished quickly for colour than black and white . Sometimes there is issue with the connectivity when we print, sending files through our mobile phones . Overall a good product but lacks certain things as mentioned. Needs improvement."
R1YSW7EH8BTG7H,good
R368PN70AI36SV,Good product
R3FX5U5LTX917L,Very nice product
R3LTMWJRC1F7PF,Easy to install and extremely elegant looks.Swift printing and zero maintenance cost for sure.
RWPV0I2H22WNQ,Nice product Good price
RB9BF4A98ORDK,Nice and easy to use
R2NA7QTVWD6PFC,"Only limited Connectivity available on mobile brands..like Mi, one plusUSB not supports like Nokia, lava, iPhone,Samsung,oppo,Realme etc"
RI2MZTNCNIAHC,Very nice printer.i like it
R1WRUS9K48ITZV,Received printer few days ago.Installation was easy. I am using this since last 15 days.print quality is awesome.Till now it's working fine.will recommend for Home and small office use.
R2V9QXZTCFZ1AV,"HP LaserJet P1108 monochrome printer is a perfect device for your office and small business establishments. It is a single function monochrome laser printer that lets you print small-scale professional documents at an affordable price.It's easy to connect, all you need to do is plug the printer to your PC or laptop using a high-speed USB 2.0 device and start printing your documents right away.With printing speeds up to 19 ppm letter and 18 ppm A4, the HP Laserjet P1108 monochrome printer delivers sharp images and bold text, catching every fine detail.With printing speeds up to 19 ppm letter and 18 ppm A4, the HP Laserjet P1108 monochrome printer delivers sharp images and bold text, catching every fine detail."
RTTGHHW49T6EC,"I love the printer, easy to use, good quality printing,"
R2PMNTMQLBL6EH,Free practice worksheets not sent with printer
R2TQQ8BZIV9DTG,Very nice product... Print quality also superb
R2C43LCB00JFE2,Best printer in this range
R1FOYWYZZNG7U0,"Great product by HP.  Old is gold: old model but highly reliable. Low maintenance. Single function makes it super special: just print and no other useless features. #One most important thing i discovered: HP doesn't allow mobile printing feature for this model, But here is a good news, an android app available in good play store ""NokoPrint"" works very well with this printer. Easy to to connect. Just don't forget to switch on OTG port settings.  So, if you were to ignore this printer for non-mobile printing feature, you have a solution now!!"
R25JT9VDD1WUKU,Good Printer.resolve our purpose
R3B3J4YSCGFDMG,"HP Laser jet P1108 was delivered on date as stated at the time of placing order. It was packed in the original HP cardboard box and looks same as in pictures on website. The contents inside included power cord, USB cable to connect printer to laptop/desktop, Installation CD and toner cartridge. My laptop doesn't have CD drive so I downloaded the driver software from HP website and installed the printer. The printer is working fine, print quality is OK. But today is first day so cannot say much. The printer prints one side of paper only if you need to print on both sides than you need to feed the paper manually. I am disappointed because I purchased it thinking duplex printer but actually it is not. Therefore, this review is for those people specially who are looking for auto duplex printer, please don't be misguided. Otherwise the printer is nice. I will post another review after using the printer for atleast six months."
R9C25GKMJTETM,
R1IP0JJWNE0DAL,Print quality is great and easy to installThank you Amazon......
R2DQ0NCRZ7AW5Z,Overall good printer but having problem with syncing with Mac. Everytime it goes in idle mode and printing is paused.
1663193134044692480,"@HPIndia a new HP Omen series laptop has been formatted twice by your technicans, parts changed. How do you expect us to use defective products when we are literally paying in lakhs? #WorstLaptops #HPLaptops #HPOmenSeries #PremiumLaptops"
1662794110766546945,"@HPSupport @HP @HPIndia 
Sell substandard products in the name of economy. Such products are designed to fail after the warranty period. Then the after sales service is a joke. @BandBajaateRaho @amitbhawani @RajivMakhni"
1650658571531476996,"Accumulating research shows lifelong stressors degrade health and increase cancer risk, but exercise might help counteract the impact of stress."
1662819329224888320,"@RajBaghel47 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards
HP Support https://t.co/nrTJPZ9Ajj"
1663842171114618881,"@ritik_alok Since I did not hear back from you I will be closing this case for now.
If you ever face any issue with any of your HP products please do not hesitate to message us!
Have a great day and stay safe.😊 https://t.co/nrTJPZ9Ajj"
1663925040877039616,Robinhood but they are honest about what your buying power is being used for https://t.co/jXcoq4m0ky
1660539994640097280,"@damodharanram Hey, Since I did not hear back from you I will be closing this case for now. If you need any assistance with any of your HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards, 
HP Support"
1662339699518701568,I had called up your call centre for HP envy 360. I got a info that don't purchase from hp dealers as they sell broken or damaged products which are not noticeable. Is this what HP does in Indian market. #hpindia
1661979467684929536,"@ashutoshjha6 @XiaomiIndia @Flipkart @Dell_IN @HPIndia @Acer_India @ashutoshjha6 @Flipkart @flipkartsupport , flipkart has a best policy. Deliver faulty products, send customers to the service centre. Service centre don't do the replacement. Get out of the situation as customers are made to suffer. And people after paying gets a faulty product."
1660875646346858496,@HPIndia shame on you @HPIndia. My issue were not resolved and I don't have hope on this. Don't buy this products.bcoz they need only money they don't want costumes issue to be fulfilled.
1661234219207778304,@HPIndia @HPSupport disappointed that after 3 days of complaining about errant dealer engaging in illegal and non complaint acts am yet to get a resolution . HP doesn’t seem serious at all about compliance or customers. Moving on and will buy my products elsewhere
1663191503739686913,"Anyone planning to even think of buying a HP laptop @HPIndia, DONT. Bad quality products, worse customer service and worst technicians. Havent had such a bad experience like this with any other brand recently. #LaptopReview #Laptop #HPOmen #HPLaptops"
1663557337897140226,"@bhagatsinghiift Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards
HP Support https://t.co/nrTJPZ9Ajj"
1661726550088388609,"@Harshit83578545 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards
HP Support https://t.co/nrTJPZ9Ajj"
1660237102712520704,@HPIndia @HPSupport your dealer Hp world in galleria market gurgaon is refusing to take cash payment for laptop . In fact he is saying he will only accept cash if I pay 8000 rs extra ! Is this your practice ? It’s criminal offence to refuse Indian currency in india @RBI
1660629820634714113,@HPSupport Hp products is good but service is very very poor I have call last 2 day but toll free guys tell technician assign but not  confirming wich service center assing. I never Expected this typ hp getting service. @HPIndia @HP @HP_Newsroom https://t.co/52s3OzTUTN
1660663174033448961,"""Hey @HPIndia, disappointed to hear that you're refusing to repair monitors out of warranty. It's unfair to customers who rely on your products. Please reconsider and provide better support for your loyal users. #CustomerService #HPIndia"""
1663766054332678144,"Its a nightmare dealing with @HPIndia. No commitments, no resolutions, no timely visits and solutions, no professionalism, technicians have zero knowledge about their own products. Dont buy HP laptops. #HPOmen #HPLaptop #LaptopReview #OmenLaptop"
1661683275025506304,"@DKUMAR54069407 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards
HP Support https://t.co/nrTJPZ9Ajj"
1663503074063974400,"@raghuttam88 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards
HP Support https://t.co/nrTJPZ9Ajj"
1656040458584244251,"How are GenAI, sustainability, inclusive design, and more revolutionizing Product Management? Register for the virtual speaker series by June 2 and find out how product leaders are harnessing these trends."
1660877353017307136,Can't contact customer care executive. Don't buy HP products no customer support by HP company. @HP @HPIndia @HPSupport
1662795650432634880,"@HPSupport @HP @HPIndia 
Sell substandard products in the name of economy. Such products are designed to fail after the warranty period. Then the after sales service is a joke. @BandBajaateRaho @amitbhawani @RajivMakhni @Trolling_isart"
1661968750558728192,"@MdSharique67 Hey, Since I did not hear back from you I will be closing this case for now. If you need any assistance with any of your HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards, 
HP Support"
